Provider,MaxHospitalDays,MedianHospitalDays,MeanHospitalDays,Chronic_Alzheimer_Frac,Chronic_Heartfailure_Frac,Chronic_KidneyDisease_Frac,Chronic_Cancer_Frac,Chronic_ObstrPulmonary_Frac,Chronic_Depression_Frac,Chronic_Diabetes_Frac,Chronic_IschemicHeart_Frac,Chronic_Osteoporasis_Frac,Chronic_rheumatoidarthritis_Frac,Chronic_stroke_Frac,Deceased_Frac
PRV51001,15.0,0.0,1.2,0.6,0.76,0.68,0.2,0.4,0.36,0.84,0.92,0.24,0.32,0.24,0.0
PRV51003,28.0,0.0,2.893939393939394,0.42424242424242425,0.6060606060606061,0.48484848484848486,0.07575757575757576,0.3106060606060606,0.4090909090909091,0.7575757575757576,0.8484848484848485,0.25,0.2878787878787879,0.09090909090909091,0.007575757575757576
PRV51004,0.0,0.0,0.0,0.42953020134228187,0.5906040268456376,0.33557046979865773,0.10738255033557047,0.2751677852348993,0.4228187919463087,0.7046979865771812,0.7248322147651006,0.3288590604026846,0.3087248322147651,0.11409395973154363,0.006711409395973154
PRV51005,0.0,0.0,0.0,0.36566523605150214,0.5836909871244635,0.4351931330472103,0.14163090128755365,0.2532188841201717,0.41630901287553645,0.6858369098712447,0.7682403433476395,0.2952789699570815,0.28412017167381975,0.10643776824034334,0.0034334763948497852
PRV51007,8.0,0.0,0.2638888888888889,0.3611111111111111,0.5555555555555556,0.3055555555555556,0.16666666666666666,0.2222222222222222,0.4027777777777778,0.6805555555555556,0.7083333333333334,0.2916666666666667,0.3055555555555556,0.16666666666666666,0.013888888888888888
PRV51008,6.0,0.0,0.23255813953488372,0.3953488372093023,0.5813953488372093,0.32558139534883723,0.20930232558139536,0.20930232558139536,0.27906976744186046,0.6976744186046512,0.7674418604651163,0.2558139534883721,0.13953488372093023,0.046511627906976744,0.0
PRV51011,6.0,0.0,0.10344827586206896,0.43103448275862066,0.6379310344827587,0.43103448275862066,0.06896551724137931,0.3620689655172414,0.5344827586206896,0.7068965517241379,0.7586206896551724,0.3448275862068966,0.27586206896551724,0.034482758620689655,0.017241379310344827
PRV51012,0.0,0.0,0.0,0.375,0.5416666666666666,0.4583333333333333,0.125,0.4375,0.3958333333333333,0.7291666666666666,0.7916666666666666,0.3541666666666667,0.3541666666666667,0.0625,0.0
PRV51013,0.0,0.0,0.0,0.3695652173913043,0.5652173913043478,0.41304347826086957,0.08695652173913043,0.34782608695652173,0.391304347826087,0.8043478260869565,0.782608695652174,0.2608695652173913,0.34782608695652173,0.043478260869565216,0.0
PRV51014,0.0,0.0,0.0,0.5333333333333333,0.5666666666666667,0.5333333333333333,0.06666666666666667,0.3,0.3333333333333333,0.6333333333333333,0.6666666666666666,0.2,0.4,0.1,0.03333333333333333
PRV51015,0.0,0.0,0.0,0.5,0.875,0.5,0.375,0.5,0.875,1.0,0.875,0.375,0.375,0.125,0.0
PRV51016,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.5,0.16666666666666666,0.0
PRV51017,0.0,0.0,0.0,0.41941747572815535,0.570873786407767,0.4174757281553398,0.11262135922330097,0.3087378640776699,0.4077669902912621,0.6815533980582524,0.7495145631067961,0.3572815533980582,0.24854368932038834,0.0912621359223301,0.009708737864077669
PRV51021,18.0,0.0,0.6498054474708171,0.3657587548638132,0.5642023346303502,0.47470817120622566,0.23346303501945526,0.40077821011673154,0.45136186770428016,0.754863813229572,0.7626459143968871,0.2723735408560311,0.33073929961089493,0.10505836575875487,0.0038910505836575876
PRV51023,11.0,0.0,1.1388888888888888,0.4444444444444444,0.5833333333333334,0.4444444444444444,0.1388888888888889,0.2777777777777778,0.4444444444444444,0.5833333333333334,0.8333333333333334,0.25,0.2222222222222222,0.1388888888888889,0.0
PRV51024,11.0,0.0,1.2307692307692308,0.38461538461538464,0.5384615384615384,0.5897435897435898,0.1282051282051282,0.358974358974359,0.41025641025641024,0.7692307692307693,0.7435897435897436,0.28205128205128205,0.358974358974359,0.15384615384615385,0.0
PRV51025,29.0,0.0,1.1954022988505748,0.3218390804597701,0.5402298850574713,0.45977011494252873,0.14942528735632185,0.3218390804597701,0.47126436781609193,0.735632183908046,0.7126436781609196,0.3563218390804598,0.2988505747126437,0.06896551724137931,0.0
